File_Name,Formula,Is_Valid,Is_Novel,Raw_Energy_per_Atom,Relaxed_Energy_per_Atom,Energy_Drop,Physically_Plausible,E_Above_Hull,Novel_And_Plausible,Internal_Duplicate
runn_48.cif,TaZn,True,True,-6.592281818389893,-6.592282295227051,4.76837158203125e-07,True,0.0,True,False
runn_74.cif,LaMnRe,True,True,-6.2408857345581055,-6.240885416666667,-3.1789143850602386e-07,True,,True,False
runn_60.cif,CsK2Al,True,True,-0.9604005813598633,-0.9604005813598633,0.0,True,0.7204777667651368,True,False
runn_133.cif,MnAsRh,True,True,-7.286257266998291,-7.286257425944011,1.5894571969710114e-07,False,,False,False
runn_127.cif,AlAg2,True,True,-3.0145840644836426,-3.014584223429362,1.5894571925301193e-07,True,0.10647388073730513,True,False
runn_132.cif,SrCo2Rh,True,True,-5.603424549102783,-5.603424549102783,0.0,True,0.17339741683471654,True,False
runn_61.cif,BaVBr2,True,True,-4.499825477600098,-4.499825477600098,0.0,True,0.23161239739990247,True,False
runn_75.cif,TiCdHgC,True,True,-4.573591232299805,-4.573591232299805,0.0,True,0.27739949483561244,True,False
runn_49.cif,CuSiMoOs,True,True,-7.781550884246826,-7.781550407409668,-4.76837158203125e-07,False,,False,False
008_Fe2PdV.cif,VFe2Pd,True,True,-7.883253574371338,-7.883253574371338,0.0,False,,False,False
runn_63.cif,AlSn2As,True,True,-4.0835280418396,-4.0835280418396,0.0,True,0.15940035191040014,True,False
runn_77.cif,NbCdTc2,True,True,-6.254880428314209,-6.254880428314209,0.0,True,,True,False
runn_88.cif,Y2HfCl,True,True,-6.9107232093811035,-6.9107232093811035,0.0,True,,True,False
runn_124.cif,FeSnBr2,True,True,-4.433616638183594,-4.433616638183594,0.0,True,0.0,True,False
runn_130.cif,K2CuW,True,True,-3.206347942352295,-3.206347942352295,0.0,True,1.371776387022706,True,False
runn_118.cif,CrInCuPb,True,True,-4.613917350769043,-4.613916873931885,-4.76837158203125e-07,True,,True,False
runn_119.cif,Sc2SnP,True,True,-6.276650428771973,-6.276650428771973,0.0,True,0.0,True,False
runn_131.cif,CuReGe,True,True,-6.742219924926758,-6.742219924926758,0.0,True,0.2034694715732419,True,False
runn_76.cif,YMgSb,True,True,-3.8907809257507324,-3.890780766805013,-1.5894571925301193e-07,True,,True,False
runn_62.cif,GaPb2Br,True,True,-3.4348952770233154,-3.4348955154418945,2.384185791015625e-07,True,,True,False
003_B2BeNb.cif,BeNbB2,True,True,-7.00528621673584,-7.00528621673584,0.0,False,,False,False
000_Cd2LiOs.cif,LiCd2Os,True,True,-3.3673484325408936,-3.3673484325408936,0.0,True,0.15534457329243967,True,False
runn_66.cif,MgZnGe2,True,True,-3.0208547115325928,-3.0208547115325928,0.0,True,0.01190061909240736,True,False
runn_72.cif,TlBiBr2,True,True,-3.050675392150879,-3.050675392150879,0.0,True,,True,False
runn_121.cif,CuBRu2,True,True,-7.254681587219238,-7.254681587219238,0.0,False,,False,False
runn_135.cif,MnFeTc2,True,True,-9.60115909576416,-9.60115909576416,0.0,False,,False,False
runn_134.cif,InIr2,True,True,-6.796011924743652,-6.796012242635091,3.1789143850602386e-07,True,,True,False
runn_120.cif,LaCdAu,True,True,-2.866442918777466,-2.8664429982503257,7.947285984855057e-08,True,,True,False
runn_108.cif,BaScTaBi,True,True,-5.877809524536133,-5.877809524536133,0.0,True,0.3850001337971989,True,False
runn_98.cif,In2MoAs,True,True,-4.936814785003662,-4.936814785003662,0.0,True,,True,False
